date,sunhr,Tmax,Tmin,rain,wind,RH
2017-09-20,9,26.3,19,0,1.9,80
2017-09-21,11,24.6,16.1,0,1.3,80
2017-09-22,10,27.9,19.6,0,1.4,80
2017-09-23,10,26.4,17.8,0,1.3,80
2017-09-24,10,29.6,17.8,0,2,80
2017-09-25,11,29.3,18.9,0,2.7,80
2017-09-26,10,29.9,24.1,0,3.3,80
2017-09-27,6,25.7,21.2,8,2.3,80
2017-09-28,10,25.6,17.6,22,1.6,80
2017-09-29,11,24.1,15.6,1,1.5,80
2017-09-30,11,28.7,15.2,0,2.2,80
2017-10-01,4,24.5,17.8,20,2,80
2017-10-02,5,25.2,20.5,28,2.9,80
2017-10-03,10,23.7,18.8,16,1,80
2017-10-04,8,22.4,17.8,4,1.3,80
2017-10-05,8,21.8,17.6,1,2.7,80
2017-10-06,7,23.3,17,16,2,80
2017-10-07,10,23.4,18.8,14,1.1,80
2017-10-08,11,27.8,17.6,1,2,80
2017-10-09,10,27.7,18,0,1.8,80
2017-10-10,10,28.5,19.6,0,1.7,80
2017-10-11,7,26.2,17.3,3,1.5,80
2017-10-12,8,17.8,15.7,10,0.7,80
2017-10-13,9,19.9,12.6,1,1.2,80
2017-10-14,8,19,15.4,9,2,80
2017-10-15,6,18.4,15.4,19,3.1,80
2017-10-16,6,19.1,16.3,17,3,80
2017-10-17,8,20.7,16.5,14,2.5,80
2017-10-18,5,19.8,17.5,11,3.2,80
2017-10-19,9,19.4,14.8,1,1.8,80
2017-10-20,9,21.6,14.5,0,2.2,80
2017-10-21,10,21,15.7,0,2.2,80
2017-10-22,9,20.8,16.4,0,1.8,80
2017-10-23,10,20.5,12.6,0,1.8,80
2017-10-24,10,20.1,12,0,2.1,80
2017-10-25,10,19,11.3,0,2.4,80
2017-10-26,10,21.4,10.4,0,2.5,80
2017-10-27,10,21.1,12.6,0,2.1,80
2017-10-28,4,19.5,17.4,0,2.4,80
2017-10-29,9,19.9,12.3,0,3.4,80
2017-10-30,10,15.3,7.4,0,2.5,80
2017-10-31,10,16.7,7,0,2.2,80
2017-11-01,10,17.6,8.7,0,2.1,80
2017-11-02,10,19.1,9.5,0,1.8,80
2017-11-03,8,20.2,11.1,0,1.9,80
2017-11-04,9,12.9,7,0,2.8,80
2017-11-05,10,15.8,6.2,0,2,80
2017-11-06,10,19.8,7.3,0,1.7,80
2017-11-07,8,23.4,14.6,0,1.1,80
2017-11-08,8,20,8.6,0,2.1,80
2017-11-09,10,19.2,6.5,0,2.1,80
2017-11-10,9,24.5,11.3,0,2.9,80
2017-11-11,9,14.3,7.1,0,2.1,80
2017-11-12,9,14.8,5.6,0,1.6,80
2017-11-13,10,17.4,7.3,0,1.9,80
2017-11-14,9,16.5,8.6,0,1.3,80
2017-11-15,9,14.6,6.8,0,1.7,80
2017-11-16,9,14.2,5.8,0,1.6,80
2017-11-17,6,15.7,5.7,0,1.5,80
2017-11-18,8,12.8,4.8,17,3,80
2017-11-19,8,9,4.7,1,2.2,80
2017-11-20,9,12.2,5.5,14,1.4,80
2017-11-21,9,13.3,4,1,2,80
2017-11-22,6,14.8,7.8,0,1.9,80
2017-11-23,6,9.9,8,8,3.4,80
2017-11-24,7,12,6.9,1,3.1,80
2017-11-25,9,15.8,5.7,0,2,80
2017-11-26,8,16.2,8.6,0,2,80
2017-11-27,9,11.9,4.4,0,1.2,80
2017-11-28,8,16.1,4.2,0,1,80
2017-11-29,4,14.8,7.7,0,0.9,80
2017-11-30,9,8.3,4.5,0,1.3,80
2017-12-01,8,6.6,1.5,0,1.3,80
2017-12-02,9,10,0.8,13,2.2,80
2017-12-03,9,13.9,3.3,1,2,80
2017-12-04,5,10.5,5.1,0,2.9,80
2017-12-05,6,6.1,1.9,37,3.2,80
2017-12-06,7,10.4,3.8,44,1.6,80
2017-12-07,9,12.3,5.6,2,2.1,80
2017-12-08,6,6.4,3,0,3.7,80
2017-12-09,7,10.2,5.3,0,2.1,80
2017-12-10,7,12.6,6.9,9,3.4,80
2017-12-11,8,8.1,3.6,1,4.3,80
2017-12-12,5,3.2,1.3,0,2.7,80
2017-12-13,5,3.2,-0.2,0,1.5,80
